Data,Judet,UAT,Metoda de interventie,Sex,Detalii referitoare la eveniment,Echipa de interventie,FC,Judet_relocare,lat,long,event_type,status_log,Nr_raport,Nr_identificare
,Vrancea,DUMITRIŢA,Alungat,Mascul,A fost luată măsura alungării ursului din zonă și înștiințarea populației. Evenimentul a avut loc în localitatea  Budacu de Sus . Nu au fost produse pagube.,"Plt. Adj.  - ISJ BN,  Primar -  UAT Dumitrița, Medic veterinar împuternicit - CMV Satu Nou, Reprezentantul gestionarului AC Ursul Brun",BUDAC 27,,47.0714286359,24.6257866917,alungare,,,
2021-10-07,Prahova,COMARNIC,Alungat,,Exemplar de urs pui alungat cu semnale acustice si vizuale,"Primar, reprez. UM 0756, paznici vanat. AVPS Campina",COMARNIC 24,,45.2383350316,25.6373944624,alungare,stereo70,11962/07.10.2021,
2021-08-31,Covasna,BIXAD,Relocat,Femela,"Paznicul comunal  a observat ursul rămas în captiv într-un tomberon în centrul comunei lângă sala de sport, după care a anunțat primarul. Primarul a apelat 112 în urma căruia s-a întrunit comisia de intervenție format din primar, medic veterinar, paznic de vânătoare și echipajul de jandarmi. Ursul a fost tranchilizat de către medicul veterinar, a fost scos din tomberon, cipat și întrodus în cușca metalică apoi transportat și relocat pe fondul de vânătoare nr. 8 Dobrița Zălan, la locul denumit Hani.","primar, paznic de vânătoare,  medic veterinar,  IJJ Covasna",DOBRITA ZALAN 8,,46.119077,25.811172,relocare,,1782,3576389738
2021-10-08,Prahova,COMARNIC,Alungat,Femela cu pui,Alungat cu mijloace sonore si luminoase,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,45.2383350316,25.6373944624,alungare,stereo70,12028/08.10.2021,
2021-10-08,Prahova,COMARNIC,Alungat,Mascul,"Exemplarul se afla intr-o zona unde a existat un atac, dar din cauza vegetatiei abundente actiunea a fost ingreunata, s-a facut alungare prin metode acustice si luminoase","Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,45.2383350316,25.6373944624,alungare,stereo70,12086/08.10.2021,
2021-10-10,Prahova,IZVOARELE,Alungat,Mascul,Alungare prin diverse mijloace acustice si luminoase,"reprezentant UAT, reprez. UM 0756, paznic vanat. AJVPS Prahova",CAZACU 34,,45.2811824973,26.0106200278,alungare,stereo70,1969/10.10.2021,
2021-10-11,Prahova,COMARNIC,Alungat,Mascul,Alungare prin metode sonore si cu fascicule luminoase,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,45.2383350316,25.6373944624,alungare,stereo70,12088/11.10.2021,
2021-10-11,Prahova,COMARNIC,Alungat,Mascul,Alungare prin metode sonore si cu fascicule luminoase,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,45.2383350316,25.6373944624,alungare,stereo70,12090/11.10.2021,
2021-10-11,Argeș,RUCĂR,Alungat,,Ursul nu se afla în zona sesizată. S-a efectuat patrulare cu mijloace acustice și luminoase.,"Jandarmerie, Primărie, gestionar FC",RUCAR 22,,45.379211,25.168286,alungare,,1501260 din 11.10.2021,
,Bacau,BRUSTUROASA,Alungat,,"Din relatarile persoanelor care erau la fata locului la momentul intrunirii echipei de  interventie, a rezultat ca un urs adult a atacat o bovina, in spatele imobilului cu nr. 154 din satul Hanganesti, comuna Brusturoasa.  Dupa atac, ursul a plecat , nu a fost necesara alungarea acestuia de catre echipa de interventie.",Jandarmerie - UM 0836 BACAU; UAT Brusturoasa- VICEPRIMAR ; Personal tehnic gestionar  ; Medic veterinar.,COTUMBA 3,,46.521754677,26.178440054,alungare,,11473,
2021-10-12,Arges,STOENEŞTI,Alungat,,Ursul nu a fost găsit. În gospodăria persoanei păgubote un perete al adăpostului pentru animale era spart și lipsea o ovină.,Jandarmerie,STOENESTI 20,,45.239877,25.186166,alungare,,1501288 din 12.10.2021,
2021-10-13,Brașov,BRAŞOV,Relocat,Femela cu pui,"Conducătorul echipei de intervenție a decis în conformitate cu prevederile art.4, alin.1, lit .b) din OUG 81/2021, capturarea, tranchilizarea și relocarea femelei de urs cu 3 pui în cadrul Sanctuarului de urși Libearty Zărnești","Reprezentant Primăria Municipului Brașov, Medic veterinar și reprezentant IJJ Brașov",,,45.643218,25.576793,relocare,,109981,BV005-BV008
2021-10-15,Brașov,BRAŞOV,Alungat,Femela cu pui,"In urma apelurilor repetate la 112, echipa de interventie a monitorizat zona, iar la ora 23,05pm, in zona Warthe,conducatorul echipei de interventie a decis in conf.cu art 4, alin.1, lit.a, alungarea prin diverse mijloace acustice si olfactive a unui exemplar de urs femela cu pui,","Primar mun. Brasov, medic veterinar, reprezentant Garda Forestiera Brasov",TIMIS 18,,45.643182,25.576930,alungare,,111091/15.10.2021,
2021-10-14,Prahova,COMARNIC,Alungat,Mascul,"Ursul a ucis doua ovine, a fost alungat folosindu-se metode acustice si luminoase","Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,45.2383350316,25.6373944624,alungare,stereo70,12321/14.10.2021,
2021-10-15,Prahova,COMARNIC,Alungat,Mascul,Alungare prin metode sonore si cu fascicule luminoase,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,45.2383350316,25.6373944624,alungare,stereo70,12422/15.10.2021,
2021-10-14,Prahova,COMARNIC,Împușcare,Mascul,"Alungare prin metode sonore si cu fascicule luminoase, dupa care a devenit agresiv, punand in pericol membrii echipei si a fost impuscat","Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",,,45.2383350316,25.6373944624,alungare,,,
2021-10-15,Prahova,COMARNIC,Împușcare,Mascul,"Alungare prin metode sonore si cu fascicule luminoase, dupa care a devenit agresiv, punand in pericol membrii echipei si a fost impuscat","Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,45.2383350316,25.6373944624,impuscare,stereo70,12423/15.10.2021,
